sample	phased_count	ground_truth_count	switch_error_rate_ALL_intersec	switch_error_rate_Largest_intersec
RO-SIT-2021-023	45601	45601	0.72	10.34
RO-SIT-2021-024	50800	50800	1.25	0.00
RO-SIT-2021-025	55626	55626	1.41	3.74
RO-SIT-2022-014	47267	47267	0.49	12.31
RO-SIT-2022-027	50681	50681	0.88	14.29
RO-SOM-2019-001	53184	53184	5.50	0.00
RO-TUR-2019-002	46471	46471	1.55	0.00
RU-KRA-1999-64601	45146	45146	3.11	22.39
RU-KRA-1999-64603	45870	45870	3.67	7.55
RU-KRA-1999-64634	39518	39518	2.87	18.18
RU-TUV-2000-66349	35318	35318	18.31	17.39
RU-TUV-2000-66423	37620	37620	17.48	14.29
RU-TUV-2000-66424	38733	38733	17.23	13.04
RU-TUV-2000-75722	34421	34421	18.00	35.29
RU-TUV-2000-75873	36598	36598	17.78	27.45
TAJ-VAR-2014-001	44110	44110	29.85	5.77
TAJ-VAR-2014-003	32587	32587	26.92	22.81
TR-BUR-2021-001	58363	58363	13.96	13.51
TR-BUR-2021-002	58226	58226	14.31	13.51
TR-BUR-2021-003	55899	55899	14.22	24.14
TR-BUR-2021-004	59307	59307	14.46	12.35
TR-NIG-20XX-001	57672	57672	13.07	19.40
TR-NIG-20XX-002	57063	57063	14.33	8.57
TR-NIG-20XX-003	57406	57406	13.95	7.14
TR-NIG-20XX-004	58595	58595	14.81	1.69
TR-NIG-20XX-005	58016	58016	14.15	10.53
